apps,interface,time
exec_lu,ib,222.93
exec_imb_memory,ipoib,25.1449
exec_mg,ipoib,34.15
exec_ep,ib,37.27
exec_cg,ib,180.95
exec_sp,ipoib,525.03
exec_ft,ib,143.13
exec_lu,eth,304.13
exec_ep,eth,37.18
exec_ft,ipoib,153.26
exec_is,ib,10.57
exec_alya,ib,250.36
exec_sp,ib,451.89
exec_ft,ipoib,173.04
exec_ep,eth,37.03
exec_is,eth,151.04
exec_ft,ib,144.36
exec_ep,ib,37.11
exec_imb_CPU,ipoib,8.7354
exec_mg,ib,35.70
exec_imb_CPU,eth,9.8661
exec_imb_memory,ib,26.9136
exec_bt,eth,508.26
exec_cg,ipoib,184.10
exec_mg,ipoib,34.27
exec_mg,eth,86.83
exec_lu,eth,304.72
exec_bt,ipoib,540.06
exec_ft,eth,1583.12
exec_is,ipoib,15.23
exec_bt,ib,384.27
exec_alya,ipoib,280.10
exec_imb_memory,eth,25.9832
exec_cg,ib,182.41
exec_imb_CPU,ib,8.7544
exec_lu,ib,224.02
exec_alya,eth,295.48
exec_cg,eth,770.29
exec_sp,ipoib,516.85
exec_ep,ipoib,37.13
exec_sp,eth,803.89
exec_lu,ipoib,277.68
exec_imb_memory,ipoib,26.0820
exec_bt,ib,380.93
exec_lu,eth,306.18
exec_mg,ib,33.75
exec_cg,eth,769.97
exec_ep,ipoib,37.39
exec_ft,ib,143.95
exec_ep,ib,37.10
exec_lu,ib,225.61
exec_bt,eth,507.10
exec_sp,ipoib,516.64
exec_imb_CPU,ipoib,9.2545
exec_ft,eth,1582.90
exec_is,ib,10.74
exec_sp,ib,454.06
exec_ep,eth,37.22
exec_cg,ipoib,191.12
exec_mg,eth,85.20
exec_ft,ipoib,170.84
exec_is,ipoib,15.68
exec_imb_memory,ib,27.5193
exec_alya,ipoib,279.89
exec_alya,ib,253.20
exec_imb_memory,eth,27.6442
exec_cg,ib,180.98
exec_imb_CPU,ib,8.9603
exec_mg,ipoib,35.26
exec_lu,ipoib,281.50
exec_sp,eth,801.61
exec_alya,eth,296.49
exec_is,eth,151.19
exec_bt,ipoib,546.28
exec_imb_memory,ipoib,26.5293
exec_imb_CPU,eth,9.0477
exec_sp,ib,457.11
exec_imb_CPU,ipoib,9.2338
exec_imb_memory,ib,24.8694
exec_ft,ib,144.68
exec_ep,ipoib,37.13
exec_is,eth,151.15
exec_ft,eth,1584.18
exec_imb_CPU,eth,8.7571
exec_bt,ib,384.55
exec_imb_memory,ipoib,25.3739
