apps,interface,bytes,time,mbytes-sec
exec_intel,ib,32,1.19,26.85
exec_intel,ib,64,1.25,51.22
exec_intel,ib,128,1.86,68.65
exec_intel,ib,256,2.04,125.30
exec_intel,ib,512,2.22,230.60
exec_intel,ib,1024,2.54,403.57
exec_intel,ib,2048,3.06,669.58
exec_intel,ib,4096,4.21,972.95
exec_intel,ib,8192,5.96,1373.79
exec_intel,ib,16384,6.52,2514.55
exec_intel,ib,32768,8.53,3842.15
exec_intel,ib,65536,12.65,5182.67
exec_intel,ib,131072,20.93,6262.10
exec_intel,ib,262144,37.64,6963.92
exec_intel,ib,524288,71.15,7368.74
exec_intel,ib,1048576,137.66,7617.27
exec_intel,ib,2097152,270.95,7740.07
exec_intel,ib,4194304,536.72,7814.68
exec_intel,eth,0,6.85,0.00
exec_intel,eth,1,6.83,0.15
exec_intel,eth,2,6.61,0.30
exec_intel,eth,4,6.37,0.63
exec_intel,eth,8,6.16,1.30
exec_intel,eth,16,6.10,2.62
exec_intel,eth,32,5.95,5.38
exec_intel,eth,64,5.99,10.69
exec_intel,eth,128,5.95,21.52
exec_intel,eth,256,5.90,43.40
exec_intel,eth,512,5.92,86.48
exec_intel,eth,1024,6.05,169.12
exec_intel,eth,2048,6.60,310.21
exec_intel,eth,4096,7.77,527.20
exec_intel,eth,8192,8.49,964.97
exec_intel,eth,16384,11.31,1448.50
exec_intel,eth,32768,18.30,1790.60
exec_intel,eth,65536,38.27,1712.44
exec_intel,eth,131072,51.58,2541.05
exec_intel,eth,262144,73.83,3550.47
exec_intel,eth,524288,119.57,4384.76
exec_intel,eth,1048576,213.00,4922.96
exec_intel,eth,2097152,388.18,5402.47
exec_intel,eth,4194304,765.49,5479.27
exec_intel,eth,0,6.21,0.00
exec_intel,eth,1,6.13,0.16
exec_intel,eth,2,6.08,0.33
exec_intel,eth,4,6.00,0.67
exec_intel,eth,8,5.94,1.35
exec_intel,eth,16,5.93,2.70
exec_intel,eth,32,5.96,5.37
exec_intel,eth,64,5.94,10.78
exec_intel,eth,128,5.93,21.59
exec_intel,eth,256,5.83,43.94
exec_intel,eth,512,5.85,87.49
exec_intel,eth,1024,5.98,171.22
exec_intel,eth,2048,6.80,301.26
exec_intel,eth,4096,7.65,535.29
exec_intel,eth,8192,8.14,1006.01
exec_intel,eth,16384,10.75,1524.58
exec_intel,eth,32768,17.99,1821.31
exec_intel,eth,65536,37.04,1769.36
exec_intel,eth,131072,51.32,2554.09
exec_intel,eth,262144,74.24,3530.97
exec_intel,eth,524288,118.44,4426.59
exec_intel,eth,1048576,207.31,5057.95
exec_intel,eth,2097152,391.62,5355.01
exec_intel,eth,4194304,774.27,5417.12
exec_intel,ib,0,1.08,0.00
exec_intel,ib,1,1.10,0.91
exec_intel,ib,2,1.10,1.82
exec_intel,ib,4,1.14,3.51
exec_intel,ib,8,1.23,6.53
exec_intel,ib,16,1.25,12.85
exec_intel,ib,32,1.23,26.01
exec_intel,ib,64,1.34,47.60
exec_intel,ib,128,1.96,65.45
exec_intel,ib,256,2.14,119.60
exec_intel,ib,512,2.30,222.54
exec_intel,ib,1024,2.67,384.09
exec_intel,ib,2048,3.26,628.29
exec_intel,ib,4096,4.54,901.33
exec_intel,ib,8192,6.32,1296.07
exec_intel,ib,16384,6.58,2490.40
exec_intel,ib,32768,8.48,3861.96
exec_intel,ib,65536,12.73,5148.53
exec_intel,ib,131072,20.98,6248.03
exec_intel,ib,262144,37.79,6936.58
exec_intel,ib,524288,71.77,7304.81
exec_intel,ib,1048576,137.72,7613.56
exec_intel,ib,2097152,270.16,7762.56
exec_intel,ib,4194304,536.38,7819.67
exec_intel,ipoib,0,6.89,0.00
exec_intel,ipoib,1,6.99,0.14
exec_intel,ipoib,2,6.49,0.31
exec_intel,ipoib,4,6.25,0.64
exec_intel,ipoib,8,6.09,1.31
exec_intel,ipoib,16,6.00,2.67
exec_intel,ipoib,32,5.98,5.36
exec_intel,ipoib,64,5.98,10.70
exec_intel,ipoib,128,6.01,21.29
exec_intel,ipoib,256,5.97,42.87
exec_intel,ipoib,512,5.98,85.66
exec_intel,ipoib,1024,6.02,170.15
exec_intel,ipoib,2048,6.77,302.58
exec_intel,ipoib,4096,7.74,529.27
exec_intel,ipoib,8192,8.37,979.23
exec_intel,ipoib,16384,10.89,1504.58
exec_intel,ipoib,32768,18.52,1769.35
exec_intel,ipoib,65536,37.84,1731.87
exec_intel,ipoib,131072,50.65,2587.85
exec_intel,ipoib,262144,73.25,3578.65
exec_intel,ipoib,524288,120.60,4347.39
exec_intel,ipoib,1048576,207.84,5045.14
exec_intel,ipoib,2097152,387.48,5412.32
exec_intel,ipoib,4194304,783.60,5352.63
exec_intel,ib,0,1.13,0.00
exec_intel,ib,1,1.17,0.86
exec_intel,ib,2,1.18,1.70
exec_intel,ib,4,1.15,3.47
exec_intel,ib,8,1.21,6.62
exec_intel,ib,16,1.21,13.21
exec_intel,ib,32,1.18,27.05
exec_intel,ib,64,1.29,49.47
exec_intel,ib,128,1.85,69.27
exec_intel,ib,256,1.99,128.64
exec_intel,ib,512,2.26,226.34
exec_intel,ib,1024,2.41,424.30
exec_intel,ib,2048,2.90,706.46
exec_intel,ib,4096,4.05,1011.29
exec_intel,ib,8192,5.68,1442.70
exec_intel,ib,16384,6.22,2635.61
exec_intel,ib,32768,8.45,3875.93
exec_intel,ib,65536,12.58,5207.57
exec_intel,ib,131072,20.85,6285.45
exec_intel,ib,262144,37.66,6960.37
exec_intel,ib,524288,71.09,7374.94
exec_intel,ib,1048576,137.53,7624.52
exec_intel,ib,2097152,271.79,7716.08
